MedicineID,Name,manufacturer_name,Price
1,"Rabinist D 10mg/20mg Tablet","Venistro Biotech",65.4
2,"Fibocob-G Tablet","Uniark Healthcare Pvt Ltd",120
3,"Aznok 250mg Tablet","Green Lab Healthcare",62
4,"Letin 5mg Tablet","Insight Labz",34.5
5,"L-Zine Tablet","Glorious Biotech",17
6,"Nerver-P 750mcg/75mg Capsule","Arlak Biotech Pvt Ltd",99
7,"Diabeclaz 30 Tablet MR",Abbott,60
8,"Topaheal 50mg Tablet","Healing Pharma India Pvt Ltd",170
9,"Dilpra-OD 750 Tablet","Emcure Pharmaceuticals Ltd",153.15
10,"Vrizolid 600mg Tablet","Vrinda Life",199
11,"Etorvas 80mg Tablet","Precise Lifescience",285
12,"Rocurofix 100 Injection","Varenyam Healthcare Pvt Ltd",1251
13,"Lydic 75mg Injection","Leenate Pharma Pvt Ltd",16
14,"Akrogat P Eye Drop","Akrovis Pharmaceuticals",42
15,"Merogram 125mg Injection","Veritaz Healthcare Ltd",198
16,"Cefikaa 200mg Tablet","Troikaa Pharmaceuticals Ltd",95.11
17,"Melfix 200mg Tablet","Elwiss Biotech Private Limited",119
18,"Nales Plus 50mg/10mg Tablet","Proqol Healthcare",82.5
19,"Telmend-AM Tablet","Mendcure Life Sciences Pvt Ltd",66
20,"Citolin P 500mg/400mg Tablet","Godase Healthcare",559
21,"Irban Beta 3.125mg/5mg Tablet","Glenmark Pharmaceuticals Ltd",210
22,"Parpex 1mg Tablet","Zydus Cadila",72.56
23,"Rabilast-L Capsule SR","Zerico Lifesciences Pvt Ltd",150
24,"Tobstik F Eye Drop","Dr Kumars Pharmaceuticals",120
25,"Vap 40 Tablet","Omenta Pharma Pvt Ltd",59
26,"Fasvivo Injection","Medicamen Biotech Ltd",14040
27,"Sivto 20mg Tablet","Sivling Technologies Pvt Ltd",38
28,"Eswell 20mg Tablet","Krypton Pharmaceuticals",120
29,"Acinabid 25mg Tablet","Sarian Healthcare",30
30,"Alenost 10mg Tablet","Macleods Pharmaceuticals Pvt Ltd",49
31,"Cityx 250mg Injection","NYX Pharmaceutical Pvt Ltd",160
32,"Themiclav IV 1000mg/200mg Injection","Themis Medicare Ltd",134
33,"Elfast Tablet","Elivia Life Sciences Pvt Ltd",59
34,"Melco 100mg/325mg Tablet","Neuracle Lifesciences Pvt Ltd",49
35,"Lukobal PG 750mcg/75mg Tablet","Henin Lukinz Pvt Ltd",124
36,"Butaproxyvon SP 100mg/325mg/15mg Tablet","Wockhardt Ltd",103
37,"Adina-B Gel","Canbro Healthcare",179.3
38,"Kristina V 1mg Injection","Khandelwal Laboratories Pvt Ltd",49.6
39,"Cadrob D 30mg/20mg Capsule SR","Caddes Life Sciences",125
40,"Sulfatrim Suspension","Shalina Laboratories Pvt Ltd",26
41,"Itcoz 100mg Capsule","Derma Concepts",98
42,"Axipin 5mg Tablet","Axis Life Science Pvt Ltd",31
43,"Qsart-B25 Tablet ER","Quads Biotech Healthcare Private Limited",128
44,"Candicul 100mg Tablet VT","Mapra Laboratories Pvt Ltd",45.63
45,"Relirubicin 10mg Injection","Relic Biotechnology Pvt Ltd",565
46,"Ulcicap PD 30 mg/40 mg Tablet","Sterkem Pharma Pvt Ltd",65
47,"Arth 60mg Injection","Plus India",149
48,"Levine Tablet","Zyris Derma Care (P) Ltd",25.1
49,"Injectum 1000mg Injection","Euporie Pharmaceuticals",70
50,"Axonrich Tablet","Primus Remedies Pvt Ltd",185.9
51,"IGP's No Issue 72 Tablet","IGP Medventures Pvt Ltd",90
52,"Martinor Tablet","Walter Bushnell",50.78
53,"Astofen 200 SR Tablet","Hi-Cure Biotech",48.5
54,"Zoprog 200 Soft Gelatin Capsule","Vibcare Pharma Pvt Ltd",280
55,"Adiproz 40 Tablet","Adisys Healthcare",65
56,"Malsunate Injection","Instant Remedies Pvt Ltd",189
57,"Rosuchek-D Tablet","Indoco Remedies Ltd",147
58,"Tuzin 10mg Tablet","Thrift Pharmaceuticals",16.06
59,"Serotin 25mg Tablet","Psycogen Captab",59.95
60,"Mefpar 500mg/450mg Tablet","Symet Drugs Ltd",21
61,"Sarcan H 50mg/12.5mg Tablet","Canipla Care",45
62,"Fudac-SP Tablet","Mensa Futura Life Sciences Pvt Ltd",55
63,"Preganova 300 Capsule","Sentosa Geigy (India) Labs Limited",341
